"","Label_0","Label_1","Label_2","Label_3","Label_4","Label_5","Label_6","Label_7","Label_8","Label_9","Label_10","Label_11","Label_12","Label_13","Label_14","Label_15","Label_16","Label_17","Label_18","Label_19","Label_20","Label_21","Label_22","Label_23","Label_24","Label_25","Label_26","Label_27","Label_28","Label_29","Label_30","Label_31","Label_32","Label_33","Label_34","Label_35","Label_36","Label_37","Label_38","Label_39","Label_40","Label_41","Label_42","Label_43","Label_44","Label_45","Label_46","Label_47","Label_48","Label_49","Label_50","TotalHeart"
"undeterminedSex_AATQ_K112-28-e15.5_Rostrum120",20493396,12980,6476,4772,9660,4438,4659,5338,8524,3655,46308,27970,13566,8103,540,447,1597,3825,5199,3942,997,990,1233,3408,2154,447,1229,1106,1411,1351,9528,8963,6617,6877,2254,2247,14018,16841,4931,4485,9186,8884,19958,4612,4744,25638,14854,41320,12854,663,804,10608
"undeterminedSex_AATQ_K112-29-e15.5_Rostrum120",20341110,16548,9511,6081,13797,5843,6717,7124,12150,7194,66356,35462,22757,10962,607,605,2068,5024,6065,4677,1363,1475,892,2972,3015,1094,1094,946,2122,1924,13279,12894,8492,8375,3423,3253,24118,24361,7239,7521,12774,12280,25552,6495,6352,36640,20640,54418,13307,433,599,11774
"undeterminedSex_AATQ_K113-11-e15.5_Rostrum120",20427016,12339,6884,4578,10783,4331,5114,5358,9606,4590,60127,34992,19348,6772,594,516,1642,3510,4724,3031,1165,1145,1120,3780,2455,584,1408,1297,1872,1725,10417,10039,6972,6923,2829,2596,20620,20838,5470,5187,11217,11038,22654,5287,6393,32098,17039,48847,10536,418,176,8349
"undeterminedSex_AATQ_K113-8-e15.5_Rostrum120",20437576,12857,6584,4578,10782,4560,4406,4887,9062,4054,54826,31585,16116,9643,529,466,1704,3999,4294,3291,1177,1169,1238,3979,2422,640,1505,1349,1692,1692,10833,10321,7261,7685,2701,2577,19217,20050,5636,5367,11404,10608,23223,5362,5686,31148,17393,49458,10852,328,229,8142
"undeterminedSex_AAWB_K269-40-e15.5_Rostrum120",20353594,15201,7658,5715,12139,5227,6336,7203,11339,6334,75241,46159,26302,10746,713,667,1970,4767,4537,3355,1188,1179,1434,4048,2717,659,1464,1381,1833,1621,12458,11364,7831,7592,3085,2963,19599,22268,6228,5831,12431,11327,24333,5894,6120,32938,17885,51529,15079,315,203,8410
"undeterminedSex_AAWB_K346-40-e15.5_Rostrum120",20375016,12429,6714,4820,10287,4181,4563,4570,9514,7553,74820,41722,24879,11518,712,681,1665,3764,4268,3263,1140,1162,1039,9668,2774,649,1616,2212,1961,1782,10709,10731,7101,7407,2899,2697,21755,20230,6656,5802,14657,12584,21921,5684,6329,33230,17112,51026,10054,323,150,8004
"undeterminedSex_AAWC_K245-15-e15.5_Rostrum120",20445008,10783,6331,4430,10660,3961,4450,5221,9257,5982,57382,37379,20366,9105,563,515,1707,3814,4719,2819,998,989,1207,3594,2413,476,1139,1244,1710,1643,11008,9898,7409,7533,2807,2593,18846,17288,5467,5264,11152,10435,21781,4522,5748,27507,15651,40577,14132,405,113,8056
"undeterminedSex_AAWC_K245-21-e15.5_Rostrum120",20405522,13159,6974,4981,11493,4967,6141,5191,10398,6735,68091,38010,22660,9231,682,590,1897,4254,4782,3226,1181,1335,1444,3547,2732,509,1632,1228,1661,1613,11860,11139,7898,7906,3089,2859,18321,20971,5799,5219,11583,10328,23056,5533,5184,29033,16326,40602,16857,360,211,8579
"undeterminedSex_AAWF_K371-9-e15.5_Rostrum120",20408388,10908,5808,4533,9742,4205,5014,5966,8656,4221,68967,39595,28468,11758,678,680,1662,3831,4572,3064,920,960,1275,4005,2429,531,1281,1306,1606,1608,11301,10410,7669,7587,2798,2710,19887,18012,5906,5579,12401,11423,22014,5006,5833,30320,16068,40742,16911,541,246,8423
"undeterminedSex_ABGF_K1122-11-e15.5_Rostrum120",20349628,15461,9273,5952,13163,6365,6041,7704,11199,3318,73164,41290,25709,14372,679,702,1954,4582,4892,3657,1334,1410,1381,3810,2580,639,1411,1307,1871,1921,12138,11541,8124,8345,3058,2881,23508,22566,6607,6276,13281,12250,25112,5665,6365,32708,17425,51123,13684,434,140,9123
"undeterminedSex_ABHW_K1303-7-e15.5_Rostrum120",20382468,13973,7397,4517,10583,4831,5534,5923,9834,4561,80323,43676,25467,12655,790,747,1849,4252,4872,3549,979,1136,1247,2809,2261,436,1450,1352,1680,1589,12459,11051,7776,7838,2911,2754,20600,17848,5439,5544,12275,11200,24413,4875,6012,28790,15869,43801,15208,382,216,9019
"undeterminedSex_ABJM_K1365-25-e15.5_Rostrum120",20448608,10491,6424,4731,9803,4123,4521,5480,8406,3628,61455,35287,20352,8449,608,554,1691,3926,4411,3842,974,1004,1239,3854,2675,480,1478,1503,1678,1532,10808,9996,7121,7115,2698,2485,18136,16743,5071,4913,12059,10772,21145,4885,5831,29122,15279,35779,15937,456,441,9150
