"","Label_0","Label_1","Label_2","Label_3","Label_4","Label_5","Label_6","Label_7","Label_8","Label_9","Label_10","Label_11","Label_12","Label_13","Label_14","Label_15","Label_16","Label_17","Label_18","Label_19","Label_20","Label_21","Label_22","Label_23","Label_24","Label_25","Label_26","Label_27","Label_28","Label_29","Label_30","Label_31","Label_32","Label_33","Label_34","Label_35","Label_36","Label_37","Label_38","Label_39","Label_40","Label_41","Label_42","Label_43","Label_44","Label_45","Label_46","Label_47","Label_48","Label_49","Label_50","TotalHeart"
"Female_AAUP_N1752-23-e15.5_Heart133",20371488,14813,7738,5495,12338,5460,6710,6215,11864,6151,65595,43343,22966,10484,716,693,2014,4673,5969,3883,1199,1249,1215,2968,2534,512,1885,1518,1927,1767,12370,11374,7875,8143,3102,2924,20256,22570,5853,5260,13013,12054,24379,6211,6018,32448,17213,44114,18774,386,281,10519
"Female_ABCM_K1403-43-e15.5_Heart133",20393652,14927,7311,5687,10591,5628,5671,5362,10586,5050,61520,47145,23364,10333,769,571,1901,3597,6042,3793,1321,1244,1092,2797,2323,473,1212,885,1980,1797,11380,10685,7899,7956,3122,2830,18258,21418,5906,5856,11664,11410,24145,5617,5260,28360,16568,49446,12792,578,226,10639
"Female_ABCM_K1403-70-e15.5_Heart133",20409998,12947,6120,4957,10650,5129,6061,5220,11583,6356,63811,38852,19336,10614,824,558,1784,3784,5864,4578,1175,1155,1163,3720,2739,513,1344,1064,1757,1565,10975,10223,7696,7786,2777,2520,17616,19961,6001,5772,11976,11494,23267,5544,5332,28925,16927,46150,13148,379,310,11131
"Female_ABIF_K1339-10-e15.5_Heart133",20495262,8922,4571,3409,7294,3491,3567,3545,7530,4163,52776,26748,15424,7072,608,524,1300,3095,4899,3769,709,765,1276,5023,2614,488,1518,1623,1515,1389,8984,8633,6003,6336,2257,2086,12658,14751,4370,4706,11151,10465,19547,5351,5321,28871,15306,49513,7926,437,439,9544
"Female_ABIF_K1592-3-e15.5_Heart133",20434044,12676,6104,4242,9601,4615,4990,5267,8612,4608,60118,39617,19640,10747,627,534,1554,3611,5848,4057,1082,1025,1005,9465,2364,803,2340,1278,1710,1557,10732,10270,7070,6643,2820,2563,16594,19719,5391,6363,11889,12066,19686,3630,5069,30077,16333,40452,7937,803,152,10860
"Female_ABLW_K1686-5-e15.5_Heart133",20423246,12744,6868,4555,9793,4659,5431,5143,10524,6337,65997,38939,20055,9439,640,597,1646,3922,5813,4293,1027,1054,1239,4116,2574,606,1466,1235,1701,1546,10702,9406,7166,7264,2707,2537,16256,17616,5462,4776,11682,11181,22615,5589,5676,30167,15741,40122,15306,527,297,10930
"Female_ABQL_K1758-12-e15.5_Heart133",20321650,17841,9597,5743,13207,6504,7301,6461,13709,5828,76317,48075,23092,11207,778,711,2199,5392,7176,5267,1466,1587,1366,3035,2600,587,1442,1201,2117,2037,12479,11741,8275,8541,3169,2914,23073,23946,6942,6219,13181,12587,25639,6922,6495,33648,18168,55918,13768,496,386,13325
"Female_ABTQ_K2033-13-e15.5_Heart133",20448114,10114,5524,3929,8851,3639,3951,4618,7678,4385,69617,34948,22123,9469,610,560,1391,3549,5253,3869,870,847,912,3295,2109,470,1007,883,1664,1543,9659,9435,7032,7184,2445,2484,17439,15944,5379,4891,11706,10504,20679,4782,5172,29479,15704,44191,9126,773,200,10095
"Female_ABTQ_K2037-8-e15.5_Heart133",20356570,13582,9038,5743,12659,4939,6385,6037,11095,6679,74394,42428,23381,10996,709,624,1902,4078,6012,3827,1160,1152,991,8500,2823,857,2331,1251,1700,1510,12102,8427,7304,7001,3147,2774,19371,27455,6085,5598,13463,14509,23420,5696,5594,36351,18743,49505,9523,391,188,10418
"Male_ABOU_K1836-12-e15.5_Heart133",20352152,16077,8420,5431,11352,5693,6529,5565,12375,6835,67297,44618,21293,11701,703,677,1977,5541,6748,4951,1299,1318,1192,3740,2400,538,749,702,1735,1624,12175,11001,8148,8440,3188,2990,21621,25066,6431,5564,12107,11258,25348,6191,6202,35871,18401,56329,11090,775,571,13045
"Male_ABOU_K1837-1-e15.5_Heart133",20390936,13557,8042,5327,12744,5405,5556,6381,10039,5333,72018,35993,23078,9874,662,753,1941,4136,6313,4860,1198,1240,1207,3771,2378,537,1467,1327,1752,1740,11610,10758,7653,7820,2951,2869,21536,20038,5499,4991,12140,11061,23677,4935,6079,30103,15679,44274,15793,512,458,12143
"Male_ABQL_K1756-53-e15.5_Heart133",20314242,16846,9142,6633,15418,5990,5603,8434,13351,5267,84351,41082,24595,13504,778,768,2166,5185,6879,5033,1523,1589,1328,2798,3461,916,1229,1004,1928,1841,13183,12825,8678,8500,3229,3072,22618,23484,6490,6734,12653,11906,26819,6148,7060,31789,19649,56926,14437,529,387,12828
"Male_ABSY_K1755-13-e15.5_Heart133",20406552,12199,6436,5163,10004,4662,4388,6194,9201,3293,73644,39730,23040,10503,566,611,1835,4145,5968,4350,1045,1080,1315,3387,2406,469,1292,1468,1741,1597,11373,10444,8366,8286,3245,2836,20691,17756,6076,5696,12644,11263,24353,4579,5701,28267,15800,39433,14268,419,220,10957
"undeterminedSex_AAMN_N305-10-e15.5_Heart133",20458484,10991,5390,3552,8790,3512,3773,4156,8368,3637,52462,27888,17018,7770,605,551,1368,3554,5344,3754,919,901,900,5869,2339,633,1252,984,2057,1623,9970,9455,6719,6834,2832,2633,20892,16637,6078,5200,12356,11343,21098,5970,5936,36200,17187,44487,8593,736,400,10234
"undeterminedSex_AAMN_N305-15-e15.5_Heart133",20387556,12530,6941,5365,11879,4709,4477,5429,9646,5137,69912,41459,20894,9986,673,666,1577,4339,6619,4204,967,959,1026,4139,2554,701,1415,1324,1729,1685,11077,10184,6708,6904,2863,2666,19062,18597,5991,5984,13490,12052,23213,6182,6759,33592,17298,56346,9568,515,453,11791
"undeterminedSex_AAPN_K1026-14-e15.5_Heart133",20393668,12459,6607,4464,10987,5419,4756,5161,10008,4756,69855,46602,22711,8444,691,621,1774,4369,5879,4718,1086,860,1345,4554,2751,503,1735,1696,1646,1497,10734,9817,7395,7420,2694,2551,18705,18288,5856,5327,13357,11915,23403,5318,6311,31695,16261,49974,10520,434,403,11434
"undeterminedSex_AAPN_K1026-3-e15.5_Heart133",20386330,12226,7228,5051,10870,5258,4971,5959,9897,4816,78131,43138,23925,10507,851,765,1892,3967,6343,4438,1252,1178,1420,4413,2582,469,1728,1739,1721,1519,11385,10528,7896,7984,2702,2579,20624,18256,5719,5596,13460,11878,22731,4728,5645,29293,15422,42051,16244,508,187,11476
"undeterminedSex_AAPQ_K1076-4-e15.5_Heart133",20395948,13608,7806,4678,10570,5047,4879,4127,10670,7232,72109,42479,20377,10825,666,540,1789,4136,6528,3719,956,1031,1356,7390,2903,729,2266,1671,1774,1561,10790,11022,7358,7401,2753,2524,16739,19673,5773,5603,13117,12778,21770,5843,5190,32336,15606,43734,9993,457,170,10874
"undeterminedSex_AATQ_K112-28-e15.5_Heart133",20490528,13082,6486,4709,9667,4706,4638,5339,8626,3628,46939,27906,13551,8166,539,442,1597,3812,6495,4984,1036,1000,1236,3404,2151,447,1226,1103,1337,1295,9512,8954,6608,6831,2227,2212,13973,16800,4922,4469,9183,8881,19922,4615,4727,25617,14803,41045,12777,889,958,13326
"undeterminedSex_AATQ_K112-29-e15.5_Heart133",20337888,16334,9457,5968,13717,6185,6699,7120,12218,7170,67151,35432,22712,11047,606,608,2066,5007,7618,6013,1430,1530,890,2974,2998,1095,1090,944,2088,1896,13260,12903,8498,8344,3386,3213,24039,24309,7216,7499,12767,12274,25515,6491,6328,36627,20569,54209,13273,578,750,14959
"undeterminedSex_AATQ_K113-11-e15.5_Heart133",20424202,12318,6890,4524,10862,4569,5078,5349,9641,4573,60948,35216,19281,6830,598,516,1644,3478,6032,3741,1162,1140,1114,3767,2425,579,1404,1289,1798,1697,10424,10046,6948,6885,2805,2535,20564,20813,5451,5193,11224,11046,22613,5280,6393,32138,16979,48665,10492,597,244,10614
