"","Label_0","Label_1","Label_2","Label_3","Label_4","Label_5","Label_6","Label_7","Label_8","Label_9","Label_10","Label_11","Label_12","Label_13","Label_14","Label_15","Label_16","Label_17","Label_18","Label_19","Label_20","Label_21","Label_22","Label_23","Label_24","Label_25","Label_26","Label_27","Label_28","Label_29","Label_30","Label_31","Label_32","Label_33","Label_34","Label_35","Label_36","Label_37","Label_38","Label_39","Label_40","Label_41","Label_42","Label_43","Label_44","Label_45","Label_46","Label_47","Label_48","Label_49","Label_50","TotalHeart"
"Female_AAUP_N1752-23-e15.5_Heart85",20375360,14876,7866,5474,12401,4981,6734,6217,11791,6167,64644,43346,23006,10306,704,693,2015,4692,4327,2926,1127,1174,1218,2968,2552,512,1886,1521,1928,1765,12388,11379,7873,8140,3103,2942,20288,22596,5866,5270,13019,12050,24448,6219,6051,32461,17321,44140,18851,240,179,7672
"Female_ABCM_K1403-43-e15.5_Heart85",20397564,15251,7353,5611,10571,5038,5707,5384,10570,5046,60534,47012,23450,10275,765,571,1900,3615,4140,2698,1306,1209,1111,2797,2350,476,1214,886,1980,1804,11384,10694,7911,7961,3137,2837,18271,21438,5943,5860,11669,11409,24222,5627,5292,28345,16705,49787,12921,278,120,7236
"Female_ABCM_K1403-70-e15.5_Heart85",20413476,12961,6157,4949,10643,4549,6086,5208,11580,6392,63307,38859,19380,10527,826,565,1782,3791,4160,3353,1169,1127,1167,3721,2779,518,1345,1071,1755,1573,10985,10232,7716,7804,2786,2534,17644,20012,6033,5777,11965,11480,23303,5556,5363,28927,17052,46397,13292,207,159,7879
"Female_ABIF_K1339-10-e15.5_Heart85",20498726,8798,4597,3469,7267,3168,3596,3559,7467,4140,52174,26757,15528,6975,607,522,1299,3116,3495,2693,666,732,1277,5026,2638,487,1514,1625,1522,1396,8981,8634,6017,6320,2256,2093,12662,14783,4389,4710,11140,10461,19581,5356,5345,28876,15393,49680,7979,248,260,6696
"Female_ABIF_K1592-3-e15.5_Heart85",20436920,12820,6266,4457,9638,4276,5016,5271,8567,4589,59437,39842,19678,10625,633,536,1558,3627,4253,2970,1004,948,1007,9465,2380,800,2343,1281,1718,1564,10745,10254,7076,6668,2828,2562,16632,19774,5403,6357,11900,12049,19735,3644,5109,30092,16413,40676,7990,492,112,7827
"Female_ABLW_K1686-5-e15.5_Heart85",20427462,12685,6925,4541,9735,4217,5441,5156,10509,6319,64893,39082,20127,9289,638,603,1647,3949,4075,3152,957,997,1244,4118,2584,602,1465,1240,1700,1553,10712,9395,7173,7299,2716,2546,16300,17650,5479,4777,11675,11166,22688,5599,5709,30169,15875,40230,15431,326,180,7733
"Female_ABQL_K1758-12-e15.5_Heart85",20326368,18024,9665,5903,13237,6014,7333,6468,13641,5835,74924,47995,23184,11123,786,716,2197,5422,5044,3654,1457,1592,1360,3040,2621,583,1442,1206,2122,2040,12488,11750,8304,8574,3172,2918,23115,23980,6964,6224,13182,12605,25742,6943,6530,33648,18318,56172,13836,286,254,9238
"Female_ABTQ_K2033-13-e15.5_Heart85",20450884,10417,5569,3990,8869,3380,3970,4632,7693,4391,68636,35165,22148,9315,620,563,1392,3572,3711,3100,829,821,917,3292,2131,470,1008,885,1663,1546,9666,9426,7031,7197,2447,2490,17458,15982,5393,4880,11719,10499,20720,4790,5189,29485,15755,44382,9277,537,97,7445
"Female_ABTQ_K2037-8-e15.5_Heart85",20360732,13710,9019,5681,12684,4473,6412,6045,11094,6675,73353,42491,23431,10873,723,622,1896,4118,4122,2688,1066,1091,998,8504,2844,862,2337,1261,1707,1530,12107,8420,7303,7029,3146,2788,19404,27486,6098,5582,13475,14508,23495,5700,5615,36352,18899,49609,9582,239,120,7169
"Male_ABOU_K1836-12-e15.5_Heart85",20357092,15924,8390,5363,11341,5276,6586,5571,12341,6821,65960,44972,21346,11552,702,676,1975,5615,4732,3512,1249,1284,1193,3737,2415,540,745,707,1735,1625,12178,10988,8168,8469,3200,3002,21662,25101,6462,5557,12100,11253,25405,6214,6243,35896,18530,56576,11181,469,370,9083
