"","Label_0","Label_1","Label_2","Label_3","Label_4","Label_5","Label_6","Label_7","Label_8","Label_9","Label_10","Label_11","Label_12","Label_13","Label_14","Label_15","Label_16","Label_17","Label_18","Label_19","Label_20","Label_21","Label_22","Label_23","Label_24","Label_25","Label_26","Label_27","Label_28","Label_29","Label_30","Label_31","Label_32","Label_33","Label_34","Label_35","Label_36","Label_37","Label_38","Label_39","Label_40","Label_41","Label_42","Label_43","Label_44","Label_45","Label_46","Label_47","Label_48","Label_49","Label_50","TotalHeart"
"Female_AAUP_N1752-23-e15.5_Heart116",20372844,14848,7757,5491,12360,5284,6719,6217,11811,6170,65260,43376,22963,10430,709,693,2015,4682,5410,3571,1186,1221,1214,2968,2539,510,1885,1517,1927,1766,12378,11376,7875,8139,3105,2931,20260,22583,5862,5264,13020,12052,24405,6216,6026,32451,17252,44086,18799,330,248,9559
"Female_ABCM_K1403-43-e15.5_Heart116",20395124,15055,7340,5659,10568,5427,5693,5374,10564,5051,61110,47100,23403,10305,767,572,1901,3604,5317,3391,1307,1237,1103,2797,2327,475,1214,886,1979,1799,11371,10688,7907,7958,3124,2833,18249,21428,5923,5856,11668,11411,24175,5619,5272,28351,16627,49572,12862,476,181,9365
"Female_ABCM_K1403-70-e15.5_Heart116",20411052,12987,6155,4929,10643,4924,6080,5215,11566,6368,63735,38855,19351,10572,826,562,1782,3785,5240,4169,1183,1149,1164,3720,2754,516,1343,1064,1757,1570,10976,10229,7705,7792,2776,2521,17626,19970,6011,5774,11976,11496,23269,5544,5341,28928,16982,46277,13215,323,254,9986
"Female_ABIF_K1339-10-e15.5_Heart116",20496536,8853,4566,3437,7280,3392,3572,3547,7512,4152,52537,26734,15448,7048,614,525,1301,3103,4390,3386,694,764,1276,5023,2623,488,1516,1624,1518,1390,8978,8632,6008,6328,2256,2090,12660,14767,4376,4702,11146,10464,19557,5352,5335,28877,15331,49599,7957,372,364,8512
"Female_ABIF_K1592-3-e15.5_Heart116",20435000,12736,6141,4332,9625,4491,4998,5265,8586,4600,59939,39708,19641,10692,627,536,1556,3622,5252,3655,1047,985,1005,9465,2370,803,2341,1281,1713,1561,10739,10261,7071,6660,2825,2560,16619,19738,5393,6357,11890,12066,19714,3636,5086,30081,16365,40552,7981,689,144,9740
"Female_ABLW_K1686-5-e15.5_Heart116",20424834,12674,6880,4547,9780,4496,5439,5143,10499,6336,65620,38941,20082,9409,638,602,1648,3935,5192,3873,998,1043,1243,4116,2577,605,1465,1236,1701,1550,10710,9404,7163,7283,2709,2541,16264,17633,5463,4774,11687,11175,22640,5593,5690,30171,15799,40144,15335,461,259,9785
"Female_ABQL_K1758-12-e15.5_Heart116",20323314,17955,9644,5796,13233,6377,7314,6457,13686,5825,75766,48014,23123,11189,779,714,2193,5394,6393,4643,1458,1594,1367,3038,2614,586,1439,1204,2120,2038,12487,11752,8291,8553,3171,2913,23075,23970,6950,6217,13181,12598,25675,6933,6508,33653,18228,56004,13814,418,342,11796
"Female_ABTQ_K2033-13-e15.5_Heart116",20449138,10207,5560,3941,8850,3539,3956,4622,7669,4384,69263,35061,22143,9417,615,564,1391,3545,4690,3578,855,827,910,3295,2119,471,1006,882,1663,1545,9661,9437,7034,7194,2446,2486,17439,15965,5385,4888,11718,10506,20701,4784,5179,29480,15729,44237,9185,682,158,9108
"Female_ABTQ_K2037-8-e15.5_Heart116",20358292,13612,9025,5733,12661,4759,6397,6040,11083,6683,73976,42442,23398,10960,712,623,1904,4088,5316,3362,1108,1108,994,8501,2834,860,2327,1254,1703,1518,12102,8425,7300,7012,3146,2780,19378,27472,6091,5592,13470,14516,23454,5697,5600,36355,18807,49506,9515,339,171,9188
"Male_ABOU_K1836-12-e15.5_Heart116",20353972,15988,8429,5430,11332,5551,6556,5563,12339,6834,66750,44752,21324,11648,700,675,1978,5564,6036,4408,1278,1319,1196,3738,2401,539,747,704,1735,1623,12172,10994,8148,8459,3193,2990,21634,25077,6444,5562,12103,11257,25374,6203,6219,35882,18438,56429,11148,656,508,11608
