"","Label_0","Label_1","Label_2","Label_3","Label_4","Label_5","Label_6","Label_7","Label_8","Label_9","Label_10","Label_11","Label_12","Label_13","Label_14","Label_15","Label_16","Label_17","Label_18","Label_19","Label_20","Label_21","Label_22","Label_23","Label_24","Label_25","Label_26","Label_27","Label_28","Label_29","Label_30","Label_31","Label_32","Label_33","Label_34","Label_35","Label_36","Label_37","Label_38","Label_39","Label_40","Label_41","Label_42","Label_43","Label_44","Label_45","Label_46","Label_47","Label_48","Label_49","Label_50","TotalHeart"
"Female_AAUP_N1752-23-e15.5_Heart51",20378450,14946,7924,5463,12462,4730,6740,6220,11806,6172,63833,43335,23011,10210,709,694,2011,4722,2855,2047,1075,1145,1238,2971,2560,516,1891,1525,1932,1774,12391,11383,7867,8145,3100,2954,20333,22626,5875,5276,13017,12032,24488,6219,6071,32456,17416,44219,18978,108,79,5089
"Female_ABCM_K1403-43-e15.5_Heart51",20400974,15273,7337,5480,10575,4608,5725,5395,10564,5047,59793,46935,23466,10277,767,581,1900,3642,2547,1911,1221,1197,1113,2795,2365,477,1213,898,1980,1808,11369,10693,7900,7955,3141,2845,18297,21476,5972,5867,11667,11404,24252,5633,5324,28338,16776,50030,13077,82,38,4578
"Female_ABCM_K1403-70-e15.5_Heart51",20416834,12823,6130,4901,10645,4113,6108,5220,11649,6395,62830,38763,19395,10482,824,562,1781,3811,2635,2315,1133,1084,1169,3721,2789,516,1347,1080,1757,1579,10988,10228,7717,7798,2794,2545,17660,20055,6060,5779,11951,11467,23378,5553,5386,28902,17139,46639,13436,77,57,5084
"Female_ABIF_K1339-10-e15.5_Heart51",20501420,8769,4628,3472,7280,2977,3618,3558,7470,4102,51743,26809,15554,6901,613,520,1301,3156,2299,1749,646,673,1276,5032,2652,486,1517,1632,1522,1401,8986,8624,6016,6307,2260,2101,12685,14815,4404,4716,11132,10433,19595,5355,5374,28874,15468,49806,8012,112,149,4309
"Female_ABIF_K1592-3-e15.5_Heart51",20439788,12901,6395,4624,9690,3994,5023,5280,8605,4558,58698,40026,19736,10569,634,537,1557,3633,2847,1919,923,907,1003,9466,2387,801,2355,1286,1720,1571,10757,10247,7048,6676,2840,2570,16670,19817,5421,6355,11891,12004,19768,3637,5136,30076,16486,40797,8098,232,41,5039
"Female_ABLW_K1686-5-e15.5_Heart51",20430668,12724,6960,4555,9685,3973,5452,5152,10508,6289,64166,39166,20179,9195,642,604,1647,3968,2634,2119,890,989,1243,4117,2592,599,1469,1245,1700,1556,10718,9391,7177,7297,2725,2556,16340,17679,5490,4776,11659,11151,22729,5599,5741,30156,15969,40387,15530,143,100,4996
"Female_ABQL_K1758-12-e15.5_Heart51",20330242,17944,9724,6035,13230,5686,7358,6479,13681,5824,74006,48013,23261,11043,787,709,2197,5436,3259,2428,1378,1553,1363,3043,2635,583,1444,1208,2124,2044,12507,11753,8312,8572,3171,2927,23181,24012,6974,6229,13177,12592,25806,6943,6545,33644,18415,56336,13933,118,136,5941
"Female_ABTQ_K2033-13-e15.5_Heart51",20453186,10659,5644,4030,8903,3309,3992,4630,7700,4402,67809,35215,22154,9230,616,567,1390,3588,2437,2476,792,804,932,3292,2148,467,1011,890,1666,1547,9668,9423,7031,7191,2451,2495,17490,15996,5412,4870,11709,10490,20753,4784,5208,29478,15811,44580,9336,325,13,5251
"Female_ABTQ_K2037-8-e15.5_Heart51",20363672,13793,9017,5664,12761,4264,6449,6043,11121,6660,72602,42517,23463,10801,727,624,1894,4148,2582,1900,991,1041,1005,8501,2842,869,2346,1266,1715,1539,12112,8428,7317,7038,3154,2799,19450,27514,6113,5580,13471,14487,23558,5689,5642,36350,18988,49712,9642,93,47,4622
"Male_ABOU_K1836-12-e15.5_Heart51",20360536,15892,8437,5309,11344,5077,6622,5566,12361,6819,64972,45341,21375,11469,705,674,1982,5648,3042,2306,1187,1236,1201,3737,2432,541,747,710,1735,1627,12188,10976,8189,8470,3198,3015,21729,25143,6476,5550,12102,11246,25433,6221,6266,35912,18655,56851,11314,234,202,5784
