"","Label_0","Label_1","Label_2","Label_3","Label_4","Label_5","Label_6","Label_7","Label_8","Label_9","Label_10","Label_11","Label_12","Label_13","Label_14","Label_15","Label_16","Label_17","Label_18","Label_19","Label_20","Label_21","Label_22","Label_23","Label_24","Label_25","Label_26","Label_27","Label_28","Label_29","Label_30","Label_31","Label_32","Label_33","Label_34","Label_35","Label_36","Label_37","Label_38","Label_39","Label_40","Label_41","Label_42","Label_43","Label_44","Label_45","Label_46","Label_47","Label_48","Label_49","Label_50","TotalHeart"
"Female_AAUP_N1752-23-e15.5_Heart173",20368716,14747,7655,5433,12319,5830,6704,6197,11911,6145,66232,43377,22864,10640,708,692,2024,4637,7399,4737,1238,1253,1205,2961,2522,512,1888,1513,1924,1766,12370,11371,7879,8125,3103,2919,20219,22534,5845,5259,13006,12050,24313,6189,6007,32442,17085,44034,18689,480,331,12947
"Female_ABCM_K1403-43-e15.5_Heart173",20391224,14524,7240,5649,10602,5984,5637,5352,10602,5045,62348,47083,23279,10316,776,575,1898,3582,7596,4805,1321,1213,1088,2798,2295,473,1212,880,1977,1793,11366,10683,7907,7925,3110,2831,18241,21387,5880,5863,11658,11398,24040,5611,5239,28365,16447,49064,12653,840,325,13566
"Female_ABCM_K1403-70-e15.5_Heart173",20407840,12778,6078,4952,10664,5460,6048,5227,11612,6329,64113,38707,19307,10681,830,559,1782,3782,7202,5571,1153,1163,1154,3720,2728,515,1343,1056,1755,1558,10982,10213,7689,7774,2772,2513,17603,19937,5987,5763,11965,11500,23236,5538,5306,28921,16772,45953,12993,511,406,13690
"Female_ABIF_K1339-10-e15.5_Heart173",20492828,9034,4554,3362,7324,3742,3568,3538,7604,4168,53107,26743,15380,7141,611,525,1299,3081,6011,4641,725,797,1277,5018,2592,492,1520,1622,1514,1386,8982,8633,6008,6316,2254,2075,12636,14726,4352,4708,11158,10473,19486,5347,5301,28873,15245,49242,7847,575,560,11787
"Female_ABIF_K1592-3-e15.5_Heart173",20432224,12567,5993,4066,9581,4906,4971,5267,8618,4633,60566,39386,19619,10806,633,534,1553,3589,7057,4857,1117,1082,1001,9469,2344,802,2337,1275,1705,1552,10726,10273,7065,6631,2813,2557,16575,19688,5379,6363,11887,12073,19636,3611,5045,30060,16256,40263,7792,1055,143,13112
"Female_ABLW_K1686-5-e15.5_Heart173",20419584,12996,6813,4601,9820,5045,5425,5132,10519,6329,66804,38813,20043,9520,633,598,1648,3919,7263,5252,1084,1109,1229,4119,2559,608,1469,1231,1697,1542,10696,9407,7153,7260,2712,2526,16250,17607,5452,4772,11672,11171,22544,5585,5650,30155,15653,40123,15175,692,341,13548
"Female_ABQL_K1758-12-e15.5_Heart173",20317864,17468,9535,5621,13214,6831,7284,6463,13786,5797,77323,48121,23065,11287,777,706,2204,5397,9137,6573,1441,1547,1360,3035,2587,589,1443,1197,2120,2031,12467,11728,8285,8533,3157,2910,23025,23910,6928,6216,13164,12579,25558,6904,6457,33632,18069,55776,13804,633,462,16805
"Female_ABTQ_K2033-13-e15.5_Heart173",20445652,10187,5490,3918,8837,3853,3929,4605,7756,4337,70192,34752,22094,9554,605,554,1388,3529,6662,4575,917,879,914,3294,2099,469,1007,884,1664,1543,9653,9432,7027,7168,2439,2482,17419,15930,5371,4888,11695,10506,20643,4768,5149,29475,15630,43976,9047,941,223,12401
"Female_ABTQ_K2037-8-e15.5_Heart173",20353300,13527,8959,5753,12668,5273,6343,6030,11141,6678,74996,42367,23332,11073,702,622,1902,4038,7681,4961,1185,1178,989,8491,2803,856,2336,1252,1696,1506,12090,8423,7310,6992,3139,2762,19346,27423,6072,5604,13449,14500,23377,5685,5568,36365,18646,49430,9453,514,214,13370
"Male_ABOU_K1836-12-e15.5_Heart173",20348420,16192,8394,5453,11405,6024,6487,5550,12439,6849,68302,44321,21213,11793,705,675,1976,5489,8398,6078,1343,1350,1187,3738,2392,543,745,698,1736,1624,12163,11004,8124,8422,3185,2983,21595,25040,6417,5570,12101,11258,25257,6168,6183,35845,18300,56071,11019,1061,715,16252
