"","Label_0","Label_1","Label_2","Label_3","Label_4","Label_5","Label_6","Label_7","Label_8","Label_9","Label_10","Label_11","Label_12","Label_13","Label_14","Label_15","Label_16","Label_17","Label_18","Label_19","Label_20","Label_21","Label_22","Label_23","Label_24","Label_25","Label_26","Label_27","Label_28","Label_29","Label_30","Label_31","Label_32","Label_33","Label_34","Label_35","Label_36","Label_37","Label_38","Label_39","Label_40","Label_41","Label_42","Label_43","Label_44","Label_45","Label_46","Label_47","Label_48","Label_49","Label_50","TotalHeart"
"undeterminedSex_AATQ_K112-28-e15.5_Heart73",20495924,12958,6461,4859,9654,4334,4674,5333,8542,3645,45876,28029,13583,8074,544,447,1594,3854,4133,3026,972,996,1231,3405,2160,446,1227,1109,1345,1299,9529,8955,6605,6866,2239,2214,14006,16856,4940,4463,9169,8878,20014,4624,4763,25633,14907,41570,12976,451,608,8218
"undeterminedSex_AATQ_K112-29-e15.5_Heart73",20343620,16673,9574,6174,13808,5570,6758,7137,12188,7194,65894,35557,22771,10956,613,607,2071,5060,4758,3559,1328,1453,892,2973,3037,1090,1090,947,2092,1901,13280,12896,8488,8378,3395,3230,24097,24374,7238,7497,12777,12267,25600,6502,6380,36650,20733,54706,13455,308,405,9030
"undeterminedSex_AATQ_K113-11-e15.5_Heart73",20429548,12358,6845,4581,10775,4099,5128,5351,9627,4564,59556,34964,19408,6703,597,517,1643,3533,3611,2415,1119,1151,1125,3778,2468,580,1402,1296,1804,1699,10421,10036,6966,6912,2814,2549,20644,20861,5463,5197,11223,11045,22682,5290,6421,32113,17096,49045,10591,282,105,6413
"undeterminedSex_AATQ_K113-8-e15.5_Heart73",20439768,12935,6622,4547,10746,4332,4412,4886,9059,4057,54348,31699,16151,9558,529,466,1704,4008,3374,2613,1132,1147,1238,3976,2430,638,1500,1350,1674,1644,10836,10315,7248,7689,2672,2545,19220,20086,5620,5361,11395,10600,23269,5365,5706,31155,17460,49684,10884,204,143,6334
"undeterminedSex_AAWB_K269-40-e15.5_Heart73",20356150,15289,7728,5669,12135,4928,6339,7209,11353,6334,74467,46394,26393,10661,718,669,1965,4774,3479,2664,1124,1147,1438,4046,2733,656,1468,1381,1806,1589,12463,11362,7798,7590,3038,2921,19620,22279,6234,5831,12415,11297,24385,5902,6135,32929,17926,51606,15230,195,138,6476
"undeterminedSex_AAWB_K346-40-e15.5_Heart73",20377366,12489,6800,4829,10275,3835,4575,4579,9539,7544,74188,41894,24908,11413,715,689,1668,3778,3242,2678,1085,1135,1040,9666,2778,648,1617,2210,1942,1731,10713,10728,7089,7396,2858,2646,21771,20246,6633,5785,14628,12563,21974,5682,6355,33273,17182,51225,10112,195,90,6205
"undeterminedSex_AAWC_K245-15-e15.5_Heart73",20447236,10815,6359,4442,10659,3832,4475,5223,9271,5951,56755,37428,20381,9035,567,514,1706,3823,3727,2271,970,988,1206,3593,2418,479,1139,1246,1686,1599,11017,9899,7395,7509,2767,2562,18853,17280,5461,5256,11145,10425,21824,4524,5769,27523,15692,40754,14205,282,64,6344
"undeterminedSex_AAWC_K245-21-e15.5_Heart73",20407912,13165,7041,5077,11537,4749,6158,5182,10443,6724,67322,38032,22697,9184,681,590,1899,4280,3713,2574,1113,1282,1442,3545,2740,508,1627,1230,1629,1569,11871,11134,7874,7901,3071,2841,18328,20995,5792,5212,11566,10323,23107,5542,5201,29041,16400,40795,16989,230,143,6660
"undeterminedSex_AAWF_K371-9-e15.5_Heart73",20410300,11136,5881,4599,9725,4011,5021,5980,8674,4211,68543,39577,28531,11681,681,681,1662,3857,3532,2397,886,949,1277,4005,2445,529,1282,1309,1583,1570,11309,10408,7660,7580,2772,2677,19880,18017,5904,5565,12403,11413,22058,5018,5853,30336,16142,40923,17037,377,153,6459
"undeterminedSex_ABGF_K1122-11-e15.5_Heart73",20352376,15455,9315,5948,13154,5990,6054,7715,11299,3310,72512,41357,25731,14282,679,701,1952,4598,3794,2948,1310,1364,1376,3809,2584,638,1408,1305,1873,1892,12149,11528,8123,8324,3015,2854,23491,22552,6591,6253,13263,12243,25133,5673,6383,32725,17517,51328,13742,296,89,7127
"undeterminedSex_ABHW_K1303-7-e15.5_Heart73",20384800,14368,7505,4469,10623,4516,5549,5926,9847,4551,79568,43915,25524,12550,794,749,1843,4282,3786,2814,936,1090,1248,2809,2272,436,1446,1353,1632,1573,12477,11049,7751,7833,2863,2699,20570,17830,5436,5540,12287,11203,24471,4886,6042,28814,15935,43865,15289,233,154,6987
"undeterminedSex_ABJM_K1365-25-e15.5_Heart73",20451276,10480,6552,4800,9826,3819,4538,5476,8419,3628,60886,35288,20382,8374,612,553,1692,3946,3480,3010,931,956,1242,3855,2680,477,1470,1502,1678,1512,10818,9975,7088,7083,2666,2438,18107,16794,5066,4902,12046,10749,21220,4891,5855,29140,15318,35875,16049,282,299,7071
